State,Substate Region,12-17 Estimate,"12-17 
95% CI (Lower)","12-17 
95% CI (Upper)",18-25 Estimate,"18-25 
95% CI (Lower)","18-25 
95% CI (Upper)",26 or Older Estimate,26 or Older 95% CI (Lower),26 or Older 95% CI (Upper),18 or Older Estimate,18 or Older 95% CI (Lower),18 or Older 95% CI (Upper)
California,LA SPA 6,1.04%,0.62%,1.74%,4.59%,2.75%,7.56%,2.06%,1.21%,3.48%,2.56%,1.59%,4.08%
California,LA SPA 7,0.92%,0.55%,1.55%,5.49%,3.37%,8.82%,1.30%,0.76%,2.22%,2.00%,1.27%,3.14%
California,LA SPA 8,0.72%,0.43%,1.21%,6.28%,4.04%,9.63%,1.95%,1.26%,3.00%,2.57%,1.74%,3.77%
California,Region 12R,*,*,*,5.07%,2.99%,8.47%,1.68%,0.95%,2.94%,2.20%,1.33%,3.63%
California,Regions 13 and 19R,1.05%,0.66%,1.67%,4.07%,2.67%,6.15%,1.31%,0.83%,2.05%,1.76%,1.21%,2.57%
California,Region 14 (Orange),0.95%,0.57%,1.58%,8.21%,5.54%,12.01%,1.52%,0.99%,2.34%,2.49%,1.75%,3.54%
California,Region 15R (Fresno),*,*,*,4.45%,2.66%,7.33%,1.71%,1.02%,2.88%,2.20%,1.38%,3.47%
California,Region 16R (San Diego),0.95%,0.59%,1.51%,9.60%,6.82%,13.36%,1.97%,1.35%,2.86%,3.16%,2.34%,4.25%
California,Region 17R,1.10%,0.67%,1.80%,4.05%,2.56%,6.35%,1.58%,1.00%,2.49%,2.01%,1.34%,3.00%
California,Region 18R (San Bernardino),0.94%,0.58%,1.53%,4.04%,2.52%,6.43%,1.53%,0.94%,2.47%,1.96%,1.28%,2.99%
California,Region 20R,*,*,*,4.80%,2.81%,8.10%,1.73%,1.03%,2.91%,2.25%,1.39%,3.61%
California,Region 21R,1.25%,0.74%,2.09%,*,*,*,1.57%,0.93%,2.63%,2.87%,1.85%,4.44%
Colorado,Colorado,1.12%,0.73%,1.72%,7.87%,6.20%,9.94%,1.81%,1.33%,2.45%,2.68%,2.12%,3.38%
Colorado,Region 1,1.40%,0.79%,2.46%,8.02%,5.09%,12.42%,1.71%,1.01%,2.86%,2.62%,1.70%,4.01%
Colorado,Region 2,*,*,*,*,*,*,1.56%,0.85%,2.85%,2.27%,1.34%,3.84%
Colorado,Region 3,1.01%,0.60%,1.69%,7.35%,4.87%,10.95%,1.87%,1.17%,2.97%,2.63%,1.79%,3.86%
Colorado,Region 4,*,*,*,5.01%,2.84%,8.69%,1.49%,0.83%,2.67%,1.98%,1.17%,3.32%
Colorado,Region 5,*,*,*,*,*,*,2.81%,1.72%,4.55%,3.90%,2.59%,5.83%
Colorado,Region 6,1.36%,0.77%,2.39%,*,*,*,1.66%,0.98%,2.82%,2.92%,1.90%,4.46%
Colorado,Region 7,0.93%,0.51%,1.69%,5.30%,3.06%,9.01%,1.34%,0.75%,2.41%,1.98%,1.19%,3.28%
Connecticut,Connecticut,0.64%,0.40%,1.02%,8.03%,6.33%,10.14%,1.68%,1.22%,2.32%,2.57%,2.02%,3.26%
Connecticut,Eastern,*,*,*,*,*,*,1.52%,0.86%,2.68%,2.61%,1.63%,4.14%
Connecticut,North Central,0.64%,0.35%,1.14%,8.69%,5.83%,12.76%,2.06%,1.28%,3.28%,2.95%,2.01%,4.30%
Connecticut,Northwestern,0.70%,0.39%,1.24%,8.80%,5.61%,13.54%,1.51%,0.88%,2.57%,2.43%,1.56%,3.74%
Connecticut,South Central,0.65%,0.37%,1.15%,7.46%,4.85%,11.32%,1.56%,0.95%,2.56%,2.40%,1.60%,3.59%
Connecticut,Southwest,*,*,*,7.39%,4.68%,11.48%,1.53%,0.90%,2.61%,2.32%,1.49%,3.60%
Delaware,Delaware,0.43%,0.25%,0.74%,5.87%,4.48%,7.66%,1.57%,1.13%,2.17%,2.15%,1.66%,2.78%
Delaware,Kent,0.42%,0.22%,0.81%,3.37%,1.96%,5.74%,1.53%,0.89%,2.63%,1.81%,1.10%,2.97%
Delaware,New Castle (excluding Wilmington City),0.41%,0.22%,0.77%,7.38%,5.34%,10.12%,1.58%,1.05%,2.36%,2.42%,1.78%,3.28%
Delaware,Sussex,*,*,*,5.07%,2.98%,8.48%,1.33%,0.75%,2.35%,1.71%,1.02%,2.84%
Delaware,Wilmington City,*,*,*,*,*,*,2.27%,1.22%,4.19%,2.45%,1.37%,4.36%
District of Columbia,District of Columbia,0.25%,0.13%,0.48%,6.53%,4.94%,8.59%,3.02%,2.27%,4.01%,3.62%,2.85%,4.59%
District of Columbia,Ward 1,*,*,*,5.95%,3.58%,9.73%,3.41%,2.06%,5.61%,3.87%,2.47%,6.02%
District of Columbia,Ward 2,*,*,*,*,*,*,3.39%,2.05%,5.56%,5.21%,3.47%,7.74%
District of Columbia,Ward 3,*,*,*,*,*,*,2.03%,1.21%,3.39%,3.26%,2.11%,5.01%
District of Columbia,Ward 4,*,*,*,5.70%,3.26%,9.76%,2.79%,1.60%,4.84%,3.12%,1.86%,5.19%
District of Columbia,Ward 5,*,*,*,6.09%,3.57%,10.21%,3.26%,1.88%,5.60%,3.73%,2.28%,6.07%
District of Columbia,Ward 6,*,*,*,6.09%,3.74%,9.76%,2.54%,1.55%,4.13%,2.98%,1.92%,4.59%
District of Columbia,Ward 7,*,*,*,2.98%,1.67%,5.27%,3.80%,2.19%,6.52%,3.66%,2.17%,6.10%
District of Columbia,Ward 8,*,*,*,2.21%,1.19%,4.07%,3.12%,1.74%,5.53%,2.94%,1.69%,5.05%
Florida,Florida,0.53%,0.37%,0.74%,5.55%,4.74%,6.48%,1.38%,1.10%,1.73%,1.90%,1.61%,2.24%
Florida,Broward (Circuit 17),0.40%,0.24%,0.67%,5.61%,3.71%,8.39%,1.45%,0.88%,2.39%,1.96%,1.29%,2.96%
Florida,Central I,0.53%,0.34%,0.81%,5.82%,4.32%,7.80%,1.62%,1.13%,2.32%,2.22%,1.66%,2.97%
Florida,Circuit 9,0.47%,0.28%,0.78%,5.15%,3.51%,7.50%,1.70%,1.09%,2.65%,2.25%,1.56%,3.23%
Florida,Circuit 18,0.63%,0.37%,1.05%,7.11%,4.53%,10.98%,1.51%,0.89%,2.56%,2.19%,1.40%,3.41%
Florida,Central II,0.60%,0.41%,0.86%,5.97%,4.74%,7.49%,1.29%,0.95%,1.75%,1.81%,1.42%,2.31%
Florida,Circuit 6,0.62%,0.38%,1.02%,6.03%,3.94%,9.13%,1.35%,0.83%,2.21%,1.83%,1.20%,2.76%
Florida,Circuit 10,0.56%,0.32%,0.95%,4.30%,2.64%,6.92%,1.38%,0.80%,2.35%,1.74%,1.08%,2.79%
Florida,Circuit 12,*,*,*,*,*,*,1.10%,0.61%,1.97%,1.71%,1.05%,2.77%
Florida,Circuit 13 (Hillsborough),0.49%,0.30%,0.80%,5.72%,3.81%,8.52%,1.47%,0.90%,2.38%,2.06%,1.38%,3.07%
Florida,Circuit 20,*,*,*,6.51%,4.01%,10.40%,1.10%,0.62%,1.93%,1.64%,1.01%,2.65%
Florida,Northeast,0.51%,0.34%,0.77%,4.95%,3.74%,6.53%,1.32%,0.94%,1.85%,1.78%,1.35%,2.35%
Florida,Circuit 4,*,*,*,4.43%,2.68%,7.23%,1.39%,0.80%,2.43%,1.81%,1.11%,2.94%
Florida,Circuit 5,*,*,*,4.23%,2.52%,7.01%,1.03%,0.57%,1.84%,1.33%,0.80%,2.21%
Florida,Circuit 7,*,*,*,6.97%,4.42%,10.81%,1.59%,0.94%,2.69%,2.21%,1.41%,3.45%
Florida,"Circuit 8 plus Columbia, Dixie, Hamilton, Lafayette, and Suwannee",*,*,*,4.46%,2.54%,7.73%,1.34%,0.75%,2.37%,1.95%,1.17%,3.23%
Florida,Northwest,0.52%,0.33%,0.80%,6.33%,4.72%,8.46%,1.78%,1.24%,2.54%,2.51%,1.88%,3.34%
Florida,Circuit 1,*,*,*,7.32%,4.83%,10.95%,1.82%,1.10%,2.98%,2.60%,1.72%,3.91%
Florida,Circuit 2 plus Madison and Taylor,*,*,*,5.78%,3.67%,8.99%,1.83%,1.09%,3.06%,2.67%,1.73%,4.09%
Florida,Circuit 14,*,*,*,*,*,*,*,*,*,2.04%,1.19%,3.49%
Florida,South (Circuits 11 and 16),0.50%,0.30%,0.84%,3.56%,2.26%,5.59%,1.11%,0.70%,1.76%,1.43%,0.96%,2.13%
Florida,Southeast,0.52%,0.34%,0.81%,7.44%,5.27%,10.41%,1.43%,0.96%,2.15%,2.09%,1.50%,2.92%
Florida,Circuit 15 (Palm Beach),0.51%,0.30%,0.86%,8.22%,5.44%,12.23%,1.53%,0.94%,2.50%,2.28%,1.52%,3.39%
Florida,Circuit 19,*,*,*,5.66%,3.37%,9.35%,1.22%,0.68%,2.17%,1.69%,1.02%,2.80%
Georgia,Georgia,0.38%,0.24%,0.61%,4.06%,3.17%,5.18%,1.50%,1.11%,2.04%,1.88%,1.47%,2.41%
Georgia,Region 1,0.53%,0.31%,0.90%,3.99%,2.54%,6.20%,0.97%,0.58%,1.62%,1.37%,0.90%,2.08%
Georgia,Region 2,*,*,*,3.37%,1.98%,5.67%,1.21%,0.69%,2.09%,1.56%,0.95%,2.55%
Georgia,Region 3,0.30%,0.15%,0.58%,5.74%,4.07%,8.06%,2.51%,1.63%,3.83%,2.97%,2.08%,4.23%
Georgia,Region 4,*,*,*,3.18%,1.73%,5.79%,1.54%,0.82%,2.85%,1.81%,1.02%,3.19%
Georgia,Region 5,*,*,*,3.05%,1.79%,5.17%,1.06%,0.58%,1.91%,1.38%,0.83%,2.31%
Georgia,Region 6,*,*,*,2.77%,1.61%,4.72%,0.95%,0.52%,1.75%,1.22%,0.72%,2.07%
Hawaii,Hawaii,0.86%,0.48%,1.53%,4.86%,3.63%,6.48%,1.69%,1.21%,2.35%,2.10%,1.60%,2.75%
Hawaii,Hawaii Island,1.16%,0.58%,2.29%,3.50%,2.00%,6.06%,1.80%,1.02%,3.16%,2.01%,1.19%,3.37%
Hawaii,Honolulu,0.79%,0.42%,1.45%,4.87%,3.46%,6.81%,1.54%,1.04%,2.27%,1.99%,1.45%,2.71%
Hawaii,Kauai,*,*,*,*,*,*,2.22%,1.17%,4.17%,2.61%,1.46%,4.64%
Hawaii,Maui,*,*,*,6.15%,3.55%,10.46%,2.25%,1.28%,3.93%,2.71%,1.62%,4.47%
Idaho,Idaho,0.73%,0.44%,1.20%,3.66%,2.69%,4.96%,0.79%,0.52%,1.19%,1.20%,0.88%,1.65%
Idaho,Region 1,*,*,*,4.14%,2.21%,7.62%,0.72%,0.35%,1.44%,1.12%,0.61%,2.05%
Idaho,Region 2,*,*,*,4.50%,2.49%,7.98%,*,*,*,1.55%,0.88%,2.72%
Idaho,Region 3,0.71%,0.38%,1.32%,1.94%,1.05%,3.55%,0.61%,0.31%,1.21%,0.80%,0.44%,1.46%
Idaho,Region 4,0.71%,0.38%,1.29%,5.59%,3.61%,8.56%,1.01%,0.58%,1.73%,1.61%,1.04%,2.47%
Idaho,Region 5,*,*,*,2.61%,1.43%,4.70%,0.58%,0.30%,1.14%,0.86%,0.48%,1.53%
Idaho,Region 6,*,*,*,*,*,*,*,*,*,1.21%,0.66%,2.21%
Idaho,Region 7,0.72%,0.39%,1.32%,2.59%,1.43%,4.65%,0.66%,0.35%,1.26%,1.02%,0.58%,1.77%
Illinois,Illinois,0.57%,0.39%,0.84%,4.97%,4.08%,6.03%,1.35%,1.04%,1.75%,1.86%,1.53%,2.27%
Illinois,Region 1 (Cook),0.42%,0.26%,0.67%,4.57%,3.50%,5.96%,1.67%,1.22%,2.28%,2.07%,1.60%,2.67%
Illinois,Region 1.1 (Far North Side),*,*,*,*,*,*,1.80%,1.03%,3.13%,2.28%,1.38%,3.76%
Illinois,Region 1.2 (Northwest Side),*,*,*,*,*,*,1.29%,0.71%,2.33%,1.76%,1.03%,2.99%
Illinois,Region 1.3 (North Central Side),*,*,*,*,*,*,2.58%,1.47%,4.49%,3.41%,2.07%,5.56%
